Date_of_usage,Azure_region,Service_Type,Demand_units,Capacity_allocated,Cost_USD,Service_availability,Market_Trend_Index,Holiday_Flag,lag_1,lag_2,rolling_mean_3,usage_spike
2024-01-01,Asia East,Compute,400,427,74.07,99.07,1.4,0,492.0,197.0,363.0,0
2024-01-01,Asia East,Compute,266,291,44.63,99.61,1.49,0,400.0,492.0,386.0,0
2024-01-01,Asia East,Compute,232,285,42.8,97.26,1.13,0,266.0,400.0,299.3333333333333,0
2024-01-01,Asia East,Compute,310,381,38.32,99.73,0.8,1,232.0,266.0,269.3333333333333,0
2024-01-01,Asia East,Compute,285,352,41.9,98.11,1.36,0,310.0,232.0,275.6666666666667,0
2024-01-01,Asia East,Compute,192,229,37.01,97.77,1.47,0,285.0,310.0,262.3333333333333,0
2024-01-01,Asia East,Compute,163,191,19.99,99.23,0.96,1,192.0,285.0,213.33333333333334,0
2024-01-01,Asia East,Compute,153,177,27.08,99.09,1.48,0,163.0,192.0,169.33333333333334,0
2024-01-01,Asia East,Compute,356,391,46.88,99.07,1.11,0,153.0,163.0,224.0,0
2024-01-02,Asia East,Compute,158,172,26.05,97.1,1.04,0,356.0,153.0,222.33333333333334,0
2024-01-02,Asia East,Compute,441,519,87.79,98.05,1.11,0,158.0,356.0,318.3333333333333,0
2024-01-02,Asia East,Compute,360,447,68.12,98.29,0.99,0,441.0,158.0,319.6666666666667,0
2024-01-02,Asia East,Compute,216,253,30.9,97.34,1.48,0,360.0,441.0,339.0,0
2024-01-02,Asia East,Compute,135,142,19.77,99.8,1.03,0,216.0,360.0,237.0,0
2024-01-02,Asia East,Compute,52,64,8.39,98.26,0.9,0,135.0,216.0,134.33333333333334,0
2024-01-03,Asia East,Compute,484,563,77.24,97.25,1.19,0,52.0,135.0,223.66666666666666,1
2024-01-03,Asia East,Compute,199,220,35.26,97.59,1.47,0,484.0,52.0,245.0,0
2024-01-03,Asia East,Compute,135,151,25.59,97.82,0.95,0,199.0,484.0,272.6666666666667,0
2024-01-03,Asia East,Compute,402,433,57.18,99.48,1.1,0,135.0,199.0,245.33333333333334,0
2024-01-03,Asia East,Compute,368,424,64.09,97.24,0.84,0,402.0,135.0,301.6666666666667,0
2024-01-03,Asia East,Compute,404,460,51.98,98.83,1.26,0,368.0,402.0,391.3333333333333,0
2024-01-03,Asia East,Compute,251,302,33.95,97.02,1.29,1,404.0,368.0,341.0,0
2024-01-04,Asia East,Compute,539,644,88.71,97.92,1.22,0,251.0,404.0,398.0,1
2024-01-04,Asia East,Compute,413,457,67.74,98.04,1.04,0,539.0,251.0,401.0,0
