Date_of_usage,Azure_region,Service_Type,Demand_units,Capacity_allocated,Cost_USD,Service_availability,Market_Trend_Index,Holiday_Flag
20-04-2024,Asia East,Compute,408,475,70.83,99.16,0.83,0
02-10-2024,Asia East,Storage,576,641,34.29,99.68,1.28,0
27-02-2025,US West,Compute,399,434,64.35,98.98,1.04,0
18-06-2024,US West,Compute,413,472,58.9,99.49,1.22,1
07-05-2025,US East,Storage,215,266,13.87,97.41,1.16,0
06-08-2024,US West,Compute,203,230,24.71,97.74,1.28,0
02-10-2024,Europe West,Storage,246,282,16.01,97.42,0.81,0
27-08-2024,US West,Compute,340,361,61.83,97.72,0.88,0
28-09-2024,US West,Compute,198,242,31.69,99.19,1.38,0
24-04-2024,India South,Compute,447,502,65.56,97.78,1.39,0
03-05-2024,US North,Compute,230,285,33.52,98.59,1.18,0
20-05-2025,US North,Storage,178,210,11.47,99.67,1.09,0
17-03-2025,US North,Compute,497,600,97.3,99.14,1.24,0
20-02-2025,US North,Storage,126,137,7.35,99.95,1.24,0
15-03-2024,US West,Storage,189,214,18.43,97.95,1.37,0
07-11-2024,India South,Storage,621,723,56.77,99.39,1.39,0
11-03-2024,US North,Storage,336,378,31.21,99.22,1.43,0
13-02-2024,Asia East,Storage,411,457,33.91,97.24,1.45,0
09-10-2024,US West,Compute,557,649,84.41,97.52,1.48,1
03-03-2024,Asia East,Compute,508,580,63.6,97.4,1.03,0
19-10-2024,US North,Compute,270,336,37.95,98.61,1.25,0
04-01-2025,US West,Storage,57,68,5.14,99.13,1.11,0
10-06-2024,US West,Compute,208,250,40.2,97.4,1.16,0
11-01-2024,Asia East,Storage,537,567,36.65,97.08,1.13,0
09-05-2025,US East,Storage,377,412,34.88,97.32,0.96,0
16-06-2025,India South,Storage,344,369,30.43,98.53,0.89,1
02-06-2025,US North,Compute,661,815,108.94,98.03,1.42,0
12-07-2024,US West,Compute,75,93,12.63,97.45,1,0
25-05-2024,US North,Storage,67,77,5.77,98.94,1.05,0
20-12-2024,US East,Compute,302,350,57.44,98.14,0.93,0
02-01-2024,US North,Compute,405,437,66.35,99.56,0.95,0
09-03-2024,US North,Compute,152,162,23.81,99.41,1.25,0
11-03-2024,Europe West,Compute,582,688,103.58,99.26,1.31,0
04-03-2024,Europe West,Storage,533,633,26.88,97.55,1.14,0
19-09-2024,US North,Compute,133,162,25.96,99.22,1.37,1
21-01-2024,Asia East,Compute,178,197,24.13,98.41,0.84,0
09-06-2024,India South,Storage,647,772,49.91,99.02,1.42,0
06-01-2025,US East,Compute,169,190,30.49,97.04,0.89,0
27-04-2025,Asia East,Storage,259,303,18.77,98.94,0.81,0
27-08-2024,US North,Storage,111,122,9.79,97.57,1.48,0
06-06-2025,US North,Compute,452,513,83.85,97.71,0.99,0
03-06-2025,Europe West,Storage,243,285,15.58,98.41,1.46,0
03-06-2024,Asia East,Compute,108,125,13.02,97.14,1,0
25-06-2025,US South,Storage,343,384,18.29,97.14,0.91,0
30-04-2024,US West,Compute,365,395,46.34,97.63,1.02,0
31-08-2024,India South,Storage,360,385,34.33,98,0.8,0
09-04-2025,US East,Compute,222,247,32.92,98.31,1.22,0
05-08-2024,US South,Compute,151,187,29.12,98.78,0.93,0
28-05-2024,Asia East,Compute,429,514,62.57,97.99,0.9,0
20-01-2025,Asia East,Compute,160,185,30.26,97.17,0.81,0
18-08-2024,US West,Storage,436,527,39.07,97.04,1.22,0
06-03-2024,US West,Storage,96,107,5.27,99.02,0.95,0
28-01-2024,Europe West,Compute,218,234,37.05,97.81,1.47,1
13-05-2024,Europe West,Compute,211,233,39.66,98.88,0.96,1
06-01-2024,US East,Storage,60,74,5.33,97.23,1,0
25-11-2024,US East,Storage,445,553,27.33,97.95,1.05,0
04-04-2024,Asia East,Compute,296,328,48.75,98.65,0.85,1
12-01-2024,Asia East,Compute,490,533,67.22,97.15,1.14,0
19-01-2025,US East,Compute,571,648,96.82,98.29,1.39,0
12-01-2025,US West,Storage,465,532,36.01,97.6,1.17,0
29-03-2024,US South,Storage,358,423,18.25,98.65,0.84,0
14-02-2025,US East,Compute,213,229,32.66,98.39,1.05,0
09-10-2024,India South,Storage,508,632,30.75,97.89,1.49,0
14-09-2024,US North,Storage,338,381,17.45,99.93,1.47,0
04-09-2024,Asia East,Storage,532,656,35.85,99.83,1.46,0
25-12-2024,US South,Storage,532,625,41.05,99.76,1.48,0
10-08-2024,Asia East,Storage,600,717,31.85,97.78,1.2,0
21-03-2025,Asia East,Compute,414,493,71.3,97.56,0.85,0
20-01-2024,US South,Storage,304,361,19.03,97.64,0.8,0
16-08-2024,US East,Compute,141,174,20.93,99.87,0.84,0
18-02-2025,Europe West,Storage,279,310,20.93,99.42,1.2,0
21-04-2024,US North,Compute,172,182,32.73,97.07,1.09,0
21-08-2024,US West,Compute,151,181,19.32,98.16,0.9,0
04-02-2025,India South,Compute,263,289,35.09,98.3,1.13,1
04-07-2024,US West,Compute,110,121,16.7,98.34,1.26,1
10-06-2025,US North,Compute,263,284,48.88,99.46,1.36,0
28-07-2024,US East,Storage,399,469,20.84,98.71,1.16,0
30-04-2025,Europe West,Storage,126,143,9.92,97.99,1.35,1
18-12-2024,India South,Compute,330,357,64.26,98.87,1.37,0
01-08-2024,Europe West,Compute,373,420,67.58,97.3,1.07,0
15-03-2025,US North,Storage,380,435,34.59,98.05,0.85,0
15-02-2024,US North,Storage,40,43,3.17,98.93,0.8,0
12-03-2025,US South,Compute,446,500,70.55,97.41,1.31,0
